Home Of Franklin D Roosevelt,hofr,National Historic Site,NY,41.76639758,-73.92516857
Homestead,home,National Historical Park,NE,40.28802381,-96.83387781
Honouliuli,hono,National Historic Site,HI,21.38817536,-158.0574991
Hopewell Culture,hocu,National Historical Park,OH,39.31594374,-83.08049456
Hopewell Furnace,hofu,National Historic Site,PA,40.20610637,-75.76766355
Horseshoe Bend,hobe,National Military Park,AL,32.97668879,-85.73413589
Hot Springs,hosp,National Park,AR,34.52414366,-93.06332936
Hovenweep,hove,National Monument,"CO,UT",37.39134092,-109.0047977
Hubbell Trading Post,hutr,National Historic Site,AZ,35.70727324,-109.5599515
Ice Age Floods,iafl,National Geologic Trail,"WA,OR,ID,MT",46.5669309008,-118.992564971
Ice Age,iatr,National Scenic Trail,WI,43.9895697794,-89.5612021706
Independence,inde,National Historical Park,PA,39.94746112,-75.14794157
Indiana Dunes,indu,National Park,IN,41.63765525,-87.09647445
Isle Royale,isro,National Park,MI,48.01145819,-88.82780657
Iñupiat Heritage Center,inup,,AK,71.29832445,-156.7535863
James A Garfield,jaga,National Historic Site,OH,41.66486549,-81.35086557
Jean Lafitte,jela,National Historical Park and Preserve,LA,29.81739855,-90.1402241
Jewel Cave,jeca,National Monument,SD,43.73102945,-103.829994
Jimmy Carter,jica,National Historical Park,GA,32.03611,-84.3924
John Day Fossil Beds,joda,National Monument,OR,44.62566508,-119.8811491
John Fitzgerald Kennedy,jofi,National Historic Site,MA,42.34693694,-71.12323846
John Muir,jomu,National Historic Site,CA,37.9828422,-122.1326097
Johnstown Flood,jofl,National Memorial,PA,40.34584534,-78.77448601
Joshua Tree,jotr,National Park,CA,33.91418525,-115.8398125
Juan Bautista de Anza,juba,National Historic Trail,"AZ,CA",33.8743390994,-117.224179857
Kalaupapa,kala,National Historical Park,HI,21.1731108,-156.9511609
Kaloko-Honokōhau,kaho,National Historical Park,HI,19.68083237,-156.0306932
Katahdin Woods and Waters,kaww,National Monument,ME,45.9567565918,-68.7122879028
Katmai,katm,National Park & Preserve,AK,58.62235668,-155.0126574
Kenai Fjords,kefj,National Park,AK,59.81804414,-150.106502
Kenilworth Park & Aquatic Gardens,keaq,,DC,38.9128,-76.9434
Kennesaw Mountain,kemo,National Battlefield Park,GA,33.95370717,-84.59214186
Keweenaw,kewe,National Historical Park,MI,47.1792308,-88.52275344
Kings Mountain,kimo,National Military Park,SC,35.13900723,-81.38978712
Klondike Gold Rush - Seattle Unit,klse,National Historical Park,WA,47.5993663,-122.3319664
Klondike Gold Rush,klgo,National Historical Park,AK,59.61042373,-135.2618535
Knife River Indian Villages,knri,National Historic Site,ND,47.3540219,-101.3860533
Kobuk Valley,kova,National Park,AK,67.35631336,-159.2002293
Korean War Veterans Memorial,kowa,,DC,38.88784226,-77.04773857
LBJ Memorial Grove on the Potomac,lyba,,DC,38.87858036,-77.05145832
Lake Clark,lacl,National Park & Preserve,AK,60.57405857,-153.55535
Lake Mead,lake,National Recreation Area,"AZ,NV",35.96622528,-114.3469067
Lake Meredith,lamr,National Recreation Area,TX,35.61926203,-101.6820066
Lake Roosevelt,laro,National Recreation Area,WA,48.17148735,-118.3513713
Lassen Volcanic,lavo,National Park,CA,40.49354575,-121.4075993
Lava Beds,labe,National Monument,CA,41.75915823,-121.5172189
Lewis & Clark,lecl,National Historic Trail,"IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV",41.2646141052,-95.9245147705
Lewis and Clark,lewi,National Historical Park,"OR,WA",46.21178735,-123.9638583
Lincoln Boyhood,libo,National Memorial,IN,38.11817004,-86.99656861
Lincoln Home,liho,National Historic Site,IL,39.79715642,-89.64513397
Lincoln Memorial,linc,,DC,38.88927229,-77.05017778
Little Bighorn Battlefield,libi,National Monument,MT,45.55633048,-107.4183614
Little River Canyon,liri,National Preserve,AL,34.41461863,-85.61734327
Little Rock Central High School,chsc,National Historic Site,AR,34.7369465,-92.29987899
Longfellow House Washington's Headquarters,long,National Historic Site,MA,42.37698854,-71.12636956
Lowell,lowe,National Historical Park,MA,42.6455371,-71.31588673
Lower Delaware,lode,National Wild and Scenic River,"PA,NJ",40.4000389,-74.983737
Lower East Side Tenement Museum,loea,National Historic Site,NY,40.7187683,-73.99001245
Lyndon B Johnson,lyjo,National Historical Park,TX,30.2519655,-98.60692433
Maggie L Walker,mawa,National Historic Site,VA,37.54781499,-77.43746979
Maine Acadian Culture,maac,,ME,47.25102114,-68.59447532
Mammoth Cave,maca,National Park,KY,37.19760458,-86.13090198
Manassas,mana,National Battlefield Park,VA,38.81710063,-77.5353468
Manhattan Project,mapr,National Historical Park,"NM,WA,TN",35.88096,-106.30214
Manzanar,manz,National Historic Site,CA,36.72559195,-118.1547177
Marsh - Billings - Rockefeller,mabi,National Historical Park,VT,43.63348732,-72.53424638
"Martin Luther King, Jr. Memorial",mlkm,,DC,38.8862276865,-77.0442195534
"Martin Luther King, Jr.",malu,National Historical Park,GA,33.75618241,-84.37256768
Martin Van Buren,mava,National Historic Site,NY,42.36819596,-73.70834257
Mary McLeod Bethune Council House,mamc,National Historic Site,DC,38.90819107,-77.03096742
Medgar and Myrlie Evers Home,memy,National Monument,MS,32.34096274,-90.21264553
Mesa Verde,meve,National Park,CO,37.23908345,-108.4624032
Mill Springs Battlefield,misp,National Monument,KY,37.0688158602,-84.7375361304
Minidoka,miin,National Historic Site,"ID,WA",42.678,-114.2465
Minute Man,mima,National Historical Park,MA,42.4562778,-71.30738884
Minuteman Missile,mimi,National Historic Site,SD,43.89558013,-102.0272131
Mississippi,miss,National River & Recreation Area,MN,44.942487,-93.098712
Missouri,mnrr,National Recreational River,"SD,NE",42.7882189,-97.59077822
Mojave,moja,National Preserve,CA,35.12485941,-115.5168258
Monocacy,mono,National Battlefield,MD,39.36084236,-77.39637677
Montezuma Castle,moca,National Monument,AZ,34.62237771,-111.8147857
Moores Creek,mocr,National Battlefield,NC,34.45820776,-78.11031134
Mormon Pioneer,mopi,National Historic Trail,"IL,IA,NE,UT,WY",41.2650321741,-101.84083756
Morristown,morr,National Historical Park,NJ,40.7650755,-74.53455122
Mount Rainier,mora,National Park,WA,46.86075416,-121.7043885
Mount Rushmore,moru,National Memorial,SD,43.88037021,-103.4525186
Muir Woods,muwo,National Monument,CA,37.89658027,-122.5808047
Natchez,natc,National Historical Park,MS,31.54697621,-91.39040665
Natchez Trace,natt,National Scenic Trail,"AL,MS,TN",34.330290333,-88.7100104094
Natchez Trace,natr,Parkway,"AL,MS,TN",33.78002293,-89.03092439
National Capital Parks-East,nace,,DC,38.8659,-76.994
National Mall and Memorial Parks,nama,,DC,38.8899,-77.026
National Park of American Samoa,npsa,,AS,-14.22865935,-169.8503777
National Parks of New York Harbor,npnh,,NY,40.6632,-74.0451
Natural Bridges,nabr,National Monument,UT,37.6045329,-110.0022436
Navajo,nava,National Monument,AZ,36.71755643,-110.5504015
New Bedford Whaling,nebe,National Historical Park,MA,41.63540552,-70.92322321
New England,neen,National Scenic Trail,"MA,CT",42.2915819137,-72.5242767334
